Date,Ask_Price_Avg_AUD
2/01/75,132.3
3/01/75,132.3
4/01/75,
5/01/75,
6/01/75,131.27
7/01/75,130.57
8/01/75,127.61
9/01/75,135.74
10/01/75,134.91
11/01/75,
12/01/75,
13/01/75,133.59
14/01/75,135.81
15/01/75,133.68
16/01/75,134.32
17/01/75,132.5
18/01/75,
19/01/75,
20/01/75,130.86
21/01/75,131.55
22/01/75,132
23/01/75,131.53
24/01/75,130.25
25/01/75,
26/01/75,
27/01/75,
28/01/75,132.94
29/01/75,131.66
30/01/75,133.08
31/01/75,132.56
1/02/75,
2/02/75,
3/02/75,131.35
4/02/75,131.88
5/02/75,130.47
6/02/75,131
7/02/75,129.58
8/02/75,
9/02/75,
10/02/75,130.2
11/02/75,129.21
12/02/75,129.56
13/02/75,129.84
14/02/75,132.43
15/02/75,
16/02/75,
17/02/75,136.48
18/02/75,134.53
19/02/75,134.18
20/02/75,136.39
21/02/75,135.8
22/02/75,
23/02/75,
24/02/75,136.26
25/02/75,135.67
26/02/75,135.28
27/02/75,134.08
28/02/75,133.49
1/03/75,
2/03/75,
3/03/75,133.15
4/03/75,132.99
5/03/75,131.51
6/03/75,130.65
7/03/75,132.31
8/03/75,
9/03/75,
10/03/75,131.24
11/03/75,129.75
12/03/75,131.37
13/03/75,130.75
14/03/75,131.72
15/03/75,
16/03/75,
17/03/75,131.05
18/03/75,130.6
19/03/75,131.05
20/03/75,131.17
21/03/75,130.25
22/03/75,
23/03/75,
24/03/75,129.62
25/03/75,130.44
26/03/75,130.54
27/03/75,131.43
28/03/75,
29/03/75,
30/03/75,
31/03/75,
1/04/75,131.56
2/04/75,131.16
3/04/75,131.26
4/04/75,130.3
5/04/75,
6/04/75,
7/04/75,129.17
8/04/75,128.46
9/04/75,129.37
10/04/75,128.8
11/04/75,128.6
12/04/75,
13/04/75,
14/04/75,128.05
15/04/75,125.87
16/04/75,122.18
17/04/75,124.03
18/04/75,124.68
19/04/75,
20/04/75,
21/04/75,126.74
22/04/75,123.57
23/04/75,123.43
24/04/75,124.96
25/04/75,
26/04/75,
27/04/75,
28/04/75,124.08
29/04/75,124.53
30/04/75,124.69
1/05/75,124.49
2/05/75,123.79
3/05/75,
4/05/75,
5/05/75,123.4
6/05/75,121.8
7/05/75,122.25
8/05/75,123.06
9/05/75,123.72
10/05/75,
