Date,price_USD
31/08/1969,1.1091
30/09/1969,1.1094
31/10/1969,1.1158
30/11/1969,1.1161
31/12/1969,1.1182
31/01/1970,1.1185
28/02/1970,1.1209
31/03/1970,1.1207
30/04/1970,1.1206
31/05/1970,1.1186
30/06/1970,1.1159
31/07/1970,1.1134
31/08/1970,1.11
30/09/1970,1.1118
31/10/1970,1.1131
30/11/1970,1.1131
31/12/1970,1.1146
31/01/1971,1.1257
28/02/1971,1.1262
31/03/1971,1.1257
30/04/1971,1.1267
31/05/1971,1.1261
30/06/1971,1.1266
31/07/1971,1.1264
31/08/1971,1.1487
30/09/1971,1.157
31/10/1971,1.1614
30/11/1971,1.1615
31/12/1971,1.1909999999999998
31/01/1972,1.1909999999999998
29/02/1972,1.1909999999999998
31/03/1972,1.1909999999999998
30/04/1972,1.1909999999999998
31/05/1972,1.1909999999999998
30/06/1972,1.1909999999999998
31/07/1972,1.1909999999999998
31/08/1972,1.1909999999999998
30/09/1972,1.1909999999999998
31/10/1972,1.1909999999999998
30/11/1972,1.1909999999999998
31/12/1972,1.275
31/01/1973,1.275
28/02/1973,1.4167
31/03/1973,1.4167
30/04/1973,1.4167
31/05/1973,1.4167
30/06/1973,1.4167
31/07/1973,1.4167
31/08/1973,1.4167
30/09/1973,1.4875
31/10/1973,1.4875
30/11/1973,1.4875
31/12/1973,1.4875
31/01/1974,1.4875
28/02/1974,1.4875
31/03/1974,1.4875
30/04/1974,1.4875
31/05/1974,1.4875
30/06/1974,1.4875
31/07/1974,1.4875
31/08/1974,1.4875
30/09/1974,1.3103
31/10/1974,1.3105
30/11/1974,1.3162
31/12/1974,1.327
31/01/1975,1.3384
28/02/1975,1.3666
31/03/1975,1.3537
30/04/1975,1.341
31/05/1975,1.3432
30/06/1975,1.3258
31/07/1975,1.2977
31/08/1975,1.2794
30/09/1975,1.256
31/10/1975,1.271
30/11/1975,1.2594
31/12/1975,1.2571
31/01/1976,1.2588
29/02/1976,1.2607
31/03/1976,1.2486
30/04/1976,1.239
31/05/1976,1.2271
30/06/1976,1.2356
31/07/1976,1.2407
31/08/1976,1.2462
30/09/1976,1.2373
31/10/1976,1.2261
30/11/1976,1.0123
31/12/1976,1.0864
31/01/1977,1.087
28/02/1977,1.0967
31/03/1977,1.1031
30/04/1977,1.1045
31/05/1977,1.1039
30/06/1977,1.1155
31/07/1977,1.1225
31/08/1977,1.1051
