Date,Price,Open,High,Low,Change %
"Jun 18, 2019",0.6842,0.6852,0.6857,0.6841,-0.14%
"Jun 17, 2019",0.6852,0.6877,0.6885,0.6848,-0.38%
"Jun 16, 2019",0.6878,0.687,0.688,0.6866,0.07%
"Jun 14, 2019",0.6873,0.6915,0.6919,0.6859,-0.59%
"Jun 13, 2019",0.6914,0.6928,0.6938,0.6899,-0.22%
"Jun 12, 2019",0.6929,0.6962,0.6964,0.6923,-0.49%
"Jun 11, 2019",0.6963,0.6965,0.6968,0.6946,-0.01%
"Jun 10, 2019",0.6964,0.6999,0.7025,0.6956,-0.44%
"Jun 09, 2019",0.6995,0.7002,0.7023,0.6992,-0.06%
"Jun 07, 2019",0.6999,0.6977,0.7023,0.6962,0.32%
"Jun 06, 2019",0.6977,0.697,0.6994,0.6961,0.10%
"Jun 05, 2019",0.697,0.6991,0.7008,0.696,-0.30%
"Jun 04, 2019",0.6991,0.6976,0.7005,0.6957,0.20%
"Jun 03, 2019",0.6977,0.6934,0.6983,0.6921,0.70%
"Jun 02, 2019",0.6928,0.6934,0.6939,0.6927,-0.15%
"May 31, 2019",0.6939,0.6914,0.6945,0.6899,0.39%
"May 30, 2019",0.6912,0.6918,0.6937,0.6897,-0.07%
"May 29, 2019",0.6917,0.6923,0.6932,0.6902,-0.12%
"May 28, 2019",0.6925,0.6923,0.6937,0.6915,0.09%
"May 27, 2019",0.6919,0.6932,0.694,0.6913,-0.16%
"May 26, 2019",0.693,0.6921,0.6938,0.6921,0.09%
"May 24, 2019",0.6924,0.6901,0.6936,0.6879,0.33%
"May 23, 2019",0.6901,0.6882,0.6902,0.6864,0.28%
"May 22, 2019",0.6882,0.6883,0.6898,0.687,-0.03%
"May 21, 2019",0.6884,0.6905,0.6929,0.6864,-0.35%
"May 20, 2019",0.6908,0.6928,0.694,0.6888,0.09%
"May 19, 2019",0.6902,0.6923,0.6937,0.689,0.47%
"May 17, 2019",0.6869,0.6893,0.6898,0.6863,-0.35%
"May 16, 2019",0.6893,0.6928,0.6934,0.6885,-0.51%
"May 15, 2019",0.6928,0.6944,0.6948,0.6913,-0.23%
"May 14, 2019",0.6944,0.6945,0.6962,0.6935,0.00%
"May 13, 2019",0.6944,0.6992,0.7003,0.6939,-0.57%
"May 12, 2019",0.6984,0.7,0.7005,0.6984,-0.25%
"May 10, 2019",0.7001,0.6989,0.7019,0.6978,0.17%
"May 09, 2019",0.6989,0.6989,0.6999,0.6963,0.00%
"May 08, 2019",0.6989,0.7013,0.7027,0.6984,-0.36%
"May 07, 2019",0.7014,0.6992,0.705,0.6982,0.34%
"May 06, 2019",0.699,0.698,0.7003,0.6961,0.24%
"May 05, 2019",0.6973,0.6985,0.7,0.6964,-0.73%
"May 03, 2019",0.7024,0.7003,0.7025,0.6983,0.34%
"May 02, 2019",0.7,0.7015,0.7029,0.6993,-0.23%
"May 01, 2019",0.7016,0.7049,0.7064,0.7006,-0.47%
"Apr 30, 2019",0.7049,0.7057,0.707,0.7029,-0.11%
"Apr 29, 2019",0.7057,0.7036,0.7063,0.703,0.20%
"Apr 28, 2019",0.7043,0.7037,0.7046,0.7031,0.04%
"Apr 26, 2019",0.704,0.7015,0.7062,0.7006,0.36%
"Apr 25, 2019",0.7015,0.7016,0.7024,0.6987,-0.01%
"Apr 24, 2019",0.7016,0.7101,0.7103,0.7003,-1.21%
"Apr 23, 2019",0.7102,0.7133,0.714,0.7079,-0.45%
"Apr 22, 2019",0.7134,0.714,0.7158,0.7127,-0.19%
"Apr 21, 2019",0.7147,0.7144,0.7159,0.7144,-0.08%
"Apr 19, 2019",0.7153,0.7151,0.7159,0.7141,0.03%
"Apr 18, 2019",0.7151,0.7179,0.72,0.7134,-0.39%
"Apr 17, 2019",0.7179,0.7175,0.7206,0.7152,0.04%
"Apr 16, 2019",0.7176,0.7174,0.7179,0.7137,0.03%
"Apr 15, 2019",0.7174,0.7171,0.7183,0.7162,0.04%
"Apr 14, 2019",0.7171,0.7172,0.7181,0.7169,-0.03%
"Apr 12, 2019",0.7173,0.7125,0.7194,0.7115,0.69%
"Apr 11, 2019",0.7124,0.7171,0.7172,0.7114,-0.68%
"Apr 10, 2019",0.7173,0.7125,0.7177,0.7109,0.70%
"Apr 09, 2019",0.7123,0.7127,0.7153,0.7117,-0.06%
"Apr 08, 2019",0.7127,0.7093,0.7132,0.7086,0.38%
"Apr 07, 2019",0.71,0.7101,0.7109,0.7099,-0.08%
"Apr 05, 2019",0.7106,0.7111,0.7131,0.7089,-0.08%
"Apr 04, 2019",0.7112,0.7113,0.7128,0.7096,-0.01%
"Apr 03, 2019",0.7113,0.707,0.7129,0.7052,0.57%
"Apr 02, 2019",0.7073,0.7114,0.7131,0.7053,-0.55%
"Apr 01, 2019",0.7112,0.7113,0.7133,0.7101,-0.01%
"Mar 31, 2019",0.7113,0.712,0.713,0.7104,0.22%
"Mar 29, 2019",0.7097,0.7078,0.7107,0.7073,0.30%
"Mar 28, 2019",0.7076,0.7084,0.7107,0.7063,-0.13%
"Mar 27, 2019",0.7085,0.7133,0.7143,0.7066,-0.70%
"Mar 26, 2019",0.7135,0.711,0.7147,0.7105,0.31%
"Mar 25, 2019",0.7113,0.7077,0.7117,0.7065,0.46%
"Mar 24, 2019",0.7081,0.7086,0.7086,0.7074,-0.05%
"Mar 22, 2019",0.7084,0.7113,0.712,0.7075,-0.39%
"Mar 21, 2019",0.7112,0.7116,0.7168,0.7088,-0.06%
"Mar 20, 2019",0.7116,0.7086,0.7149,0.7055,0.40%
"Mar 19, 2019",0.7088,0.7103,0.7112,0.7083,-0.24%
"Mar 18, 2019",0.7105,0.7083,0.7121,0.7077,0.30%
"Mar 17, 2019",0.7084,0.709,0.709,0.7078,-0.07%
"Mar 15, 2019",0.7089,0.7066,0.7099,0.706,0.34%
"Mar 14, 2019",0.7065,0.7094,0.7097,0.7039,-0.41%
"Mar 13, 2019",0.7094,0.7082,0.7099,0.7048,0.18%
"Mar 12, 2019",0.7081,0.7069,0.7093,0.7056,0.16%
"Mar 11, 2019",0.707,0.7035,0.7078,0.7024,0.48%
"Mar 10, 2019",0.7036,0.7047,0.705,0.7028,-0.15%
"Mar 08, 2019",0.7047,0.7016,0.7055,0.7003,0.44%
"Mar 07, 2019",0.7016,0.7034,0.7054,0.7005,-0.24%
"Mar 06, 2019",0.7033,0.7081,0.7093,0.7018,-0.72%
"Mar 05, 2019",0.7084,0.7093,0.7098,0.7059,-0.13%
"Mar 04, 2019",0.7093,0.7079,0.7118,0.7073,-0.08%
"Mar 03, 2019",0.7099,0.7082,0.7118,0.7082,0.23%
"Mar 01, 2019",0.7083,0.7096,0.7124,0.7069,-0.17%
"Feb 28, 2019",0.7095,0.7139,0.7167,0.7089,-0.62%
"Feb 27, 2019",0.7139,0.7186,0.7199,0.7126,-0.68%
"Feb 26, 2019",0.7188,0.7168,0.7197,0.7141,0.29%
"Feb 25, 2019",0.7167,0.7127,0.7187,0.7119,0.13%
"Feb 24, 2019",0.7157,0.7129,0.7161,0.7125,0.43%
"Feb 22, 2019",0.7127,0.709,0.715,0.7081,0.45%
