Date,price_USD
2/02/2012,6.1
3/02/2012,6.0
4/02/2012,5.9
5/02/2012,5.7
6/02/2012,5.4
7/02/2012,5.7
8/02/2012,5.6
9/02/2012,5.8
10/02/2012,5.9
11/02/2012,5.6
12/02/2012,5.5
13/02/2012,5.3
14/02/2012,4.5
15/02/2012,4.3
16/02/2012,4.3
17/02/2012,4.4
18/02/2012,4.2
19/02/2012,4.4
20/02/2012,4.4
21/02/2012,4.3
22/02/2012,4.4
23/02/2012,5.0
24/02/2012,5.0
25/02/2012,4.8
26/02/2012,4.9
27/02/2012,5.0
28/02/2012,4.9
29/02/2012,4.9
1/03/2012,4.9
2/03/2012,4.7
3/03/2012,4.6
4/03/2012,4.8
5/03/2012,5.0
6/03/2012,5.0
7/03/2012,4.9
8/03/2012,4.9
9/03/2012,4.9
10/03/2012,4.8
11/03/2012,4.9
12/03/2012,4.9
13/03/2012,5.3
14/03/2012,5.4
15/03/2012,5.3
16/03/2012,5.3
17/03/2012,5.2
18/03/2012,5.3
19/03/2012,4.7
20/03/2012,4.8
21/03/2012,4.8
22/03/2012,4.7
23/03/2012,4.7
24/03/2012,4.7
25/03/2012,4.6
26/03/2012,4.6
27/03/2012,4.8
28/03/2012,4.8
29/03/2012,4.8
30/03/2012,4.9
31/03/2012,4.9
1/04/2012,4.8
2/04/2012,5.0
3/04/2012,4.9
4/04/2012,4.9
5/04/2012,4.9
6/04/2012,4.9
7/04/2012,4.7
8/04/2012,4.8
9/04/2012,4.9
10/04/2012,4.8
11/04/2012,4.9
12/04/2012,4.9
13/04/2012,4.9
14/04/2012,5.0
15/04/2012,5.0
16/04/2012,4.9
17/04/2012,5.0
18/04/2012,5.1
19/04/2012,5.1
20/04/2012,5.3
21/04/2012,5.3
22/04/2012,5.2
23/04/2012,5.0
24/04/2012,5.1
25/04/2012,5.1
26/04/2012,5.1
27/04/2012,5.1
28/04/2012,5.0
29/04/2012,4.9
30/04/2012,4.9
1/05/2012,5.0
2/05/2012,5.1
3/05/2012,5.1
4/05/2012,5.1
5/05/2012,5.1
6/05/2012,5.1
7/05/2012,5.1
8/05/2012,5.1
9/05/2012,5.0
10/05/2012,4.8
11/05/2012,5.0
12/05/2012,4.9
13/05/2012,4.9
14/05/2012,5.0
15/05/2012,5.0
16/05/2012,5.1
17/05/2012,5.1
18/05/2012,5.1
19/05/2012,5.1
20/05/2012,5.1
21/05/2012,5.1
22/05/2012,5.1
23/05/2012,5.1
24/05/2012,5.1
25/05/2012,5.2
26/05/2012,5.1
27/05/2012,5.1
28/05/2012,5.1
29/05/2012,5.2
30/05/2012,5.1
31/05/2012,5.2
1/06/2012,5.3
2/06/2012,5.3
3/06/2012,5.2
4/06/2012,5.3
5/06/2012,5.4
6/06/2012,5.5
7/06/2012,5.6
8/06/2012,5.6
9/06/2012,5.6
10/06/2012,5.5
11/06/2012,5.6
12/06/2012,5.7
13/06/2012,5.9
14/06/2012,5.9
15/06/2012,6.5
16/06/2012,6.4
17/06/2012,6.2
18/06/2012,6.3
19/06/2012,6.5
20/06/2012,6.7
21/06/2012,6.7
22/06/2012,6.6
23/06/2012,6.4
24/06/2012,6.3
25/06/2012,6.3
26/06/2012,6.4
27/06/2012,6.7
28/06/2012,6.6
29/06/2012,6.7
30/06/2012,6.7
1/07/2012,6.6
2/07/2012,6.8
3/07/2012,6.4
4/07/2012,6.5
5/07/2012,6.7
6/07/2012,6.7
7/07/2012,6.8
8/07/2012,6.8
9/07/2012,7.0
10/07/2012,7.2
11/07/2012,7.2
12/07/2012,7.8
13/07/2012,7.7
14/07/2012,7.5
15/07/2012,7.6
16/07/2012,8.5
17/07/2012,8.8
18/07/2012,9.1
19/07/2012,8.9
20/07/2012,8.5
21/07/2012,8.9
22/07/2012,8.4
23/07/2012,8.4
24/07/2012,8.6
25/07/2012,8.8
26/07/2012,8.9
27/07/2012,8.9
28/07/2012,8.9
29/07/2012,8.7
30/07/2012,9.1
31/07/2012,9.4
1/08/2012,9.6
2/08/2012,10.5
3/08/2012,11.0
4/08/2012,11.0
5/08/2012,10.9
6/08/2012,10.9
7/08/2012,11.1
8/08/2012,11.1
9/08/2012,11.1
10/08/2012,11.4
11/08/2012,11.5
12/08/2012,11.6
13/08/2012,12.0
14/08/2012,12.2
15/08/2012,13.3
16/08/2012,13.5
17/08/2012,11.6
18/08/2012,11.6
19/08/2012,8.0
20/08/2012,10.1
21/08/2012,9.9
22/08/2012,9.8
23/08/2012,10.1
24/08/2012,10.6
25/08/2012,10.5
26/08/2012,10.6
27/08/2012,10.9
28/08/2012,10.9
29/08/2012,10.9
30/08/2012,10.8
31/08/2012,10.2
1/09/2012,10.0
2/09/2012,10.2
3/09/2012,10.5
4/09/2012,10.4
5/09/2012,11.0
6/09/2012,11.2
7/09/2012,11.0
8/09/2012,11.0
9/09/2012,11.0
10/09/2012,11.2
11/09/2012,11.3
12/09/2012,11.4
13/09/2012,11.4
14/09/2012,11.7
15/09/2012,11.8
16/09/2012,11.9
17/09/2012,11.9
18/09/2012,12.3
19/09/2012,12.6
20/09/2012,12.3
21/09/2012,12.4
22/09/2012,12.2
23/09/2012,12.2
24/09/2012,12.1
25/09/2012,12.2
26/09/2012,12.3
27/09/2012,12.3
28/09/2012,12.4
29/09/2012,12.4
30/09/2012,12.4
1/10/2012,12.4
2/10/2012,12.8
3/10/2012,12.9
4/10/2012,12.9
5/10/2012,12.7
6/10/2012,12.5
7/10/2012,11.8
8/10/2012,11.8
9/10/2012,11.9
10/10/2012,12.1
11/10/2012,12.0
12/10/2012,12.0
13/10/2012,11.9
14/10/2012,11.7
15/10/2012,11.8
16/10/2012,11.9
17/10/2012,11.8
18/10/2012,11.9
19/10/2012,11.7
20/10/2012,11.7
21/10/2012,11.6
22/10/2012,11.7
23/10/2012,11.6
24/10/2012,11.6
25/10/2012,10.9
26/10/2012,10.2
27/10/2012,10.3
28/10/2012,10.7
29/10/2012,10.6
30/10/2012,10.9
31/10/2012,11.2
1/11/2012,10.6
2/11/2012,10.5
3/11/2012,10.6
4/11/2012,10.8
5/11/2012,10.8
6/11/2012,10.9
7/11/2012,10.9
8/11/2012,10.9
9/11/2012,10.8
10/11/2012,10.9
11/11/2012,10.9
12/11/2012,11.0
13/11/2012,10.9
14/11/2012,10.9
15/11/2012,11.2
16/11/2012,11.8
17/11/2012,11.8
18/11/2012,11.6
19/11/2012,11.8
20/11/2012,11.7
21/11/2012,11.8
22/11/2012,12.4
23/11/2012,12.3
24/11/2012,12.4
25/11/2012,12.5
26/11/2012,12.3
27/11/2012,12.2
28/11/2012,12.4
29/11/2012,12.4
30/11/2012,12.6
1/12/2012,12.6
2/12/2012,12.5
3/12/2012,12.7
4/12/2012,13.4
5/12/2012,13.4
6/12/2012,13.3
7/12/2012,13.5
8/12/2012,13.4
9/12/2012,13.4
10/12/2012,13.4
11/12/2012,13.6
12/12/2012,13.7
13/12/2012,13.7
14/12/2012,13.6
15/12/2012,13.5
16/12/2012,13.3
17/12/2012,13.3
18/12/2012,13.3
19/12/2012,13.6
20/12/2012,13.5
21/12/2012,13.5
22/12/2012,13.4
23/12/2012,13.3
24/12/2012,13.4
25/12/2012,13.4
26/12/2012,13.5
27/12/2012,13.4
28/12/2012,13.4
29/12/2012,13.4
30/12/2012,13.4
31/12/2012,13.5
1/01/2013,13.3
2/01/2013,13.3
3/01/2013,13.4
4/01/2013,13.5
5/01/2013,13.4
6/01/2013,13.4
7/01/2013,13.6
8/01/2013,13.7
9/01/2013,13.8
10/01/2013,14.1
11/01/2013,14.1
12/01/2013,14.2
13/01/2013,14.1
14/01/2013,14.3
15/01/2013,14.3
16/01/2013,14.7
17/01/2013,15.5
18/01/2013,15.7
19/01/2013,15.6
20/01/2013,15.7
21/01/2013,16.8
22/01/2013,17.3
23/01/2013,17.5
24/01/2013,16.9
25/01/2013,17.4
26/01/2013,17.9
27/01/2013,17.8
28/01/2013,18.7
29/01/2013,19.5
30/01/2013,19.7
31/01/2013,20.4
1/02/2013,20.5
2/02/2013,19.6
3/02/2013,20.6
4/02/2013,20.4
5/02/2013,20.6
6/02/2013,21.2
7/02/2013,22.1
8/02/2013,22.7
9/02/2013,23.6
10/02/2013,24.0
11/02/2013,24.6
12/02/2013,25.2
13/02/2013,24.2
14/02/2013,27.2
15/02/2013,27.1
16/02/2013,27.2
17/02/2013,26.8
18/02/2013,27.0
19/02/2013,29.4
20/02/2013,29.6
21/02/2013,29.8
22/02/2013,30.3
23/02/2013,29.8
24/02/2013,29.9
25/02/2013,30.4
26/02/2013,31.1
27/02/2013,30.9
28/02/2013,33.4
1/03/2013,34.5
2/03/2013,34.3
3/03/2013,34.5
4/03/2013,36.2
5/03/2013,40.3
6/03/2013,41.0
7/03/2013,42.0
8/03/2013,44.2
9/03/2013,46.8
10/03/2013,46.0
11/03/2013,48.4
12/03/2013,44.3
13/03/2013,46.9
14/03/2013,47.2
15/03/2013,47.0
16/03/2013,47.0
17/03/2013,47.4
18/03/2013,51.6
19/03/2013,59.1
20/03/2013,64.5
21/03/2013,70.8
22/03/2013,69.9
23/03/2013,64.3
24/03/2013,71.5
25/03/2013,73.6
26/03/2013,78.5
27/03/2013,88.9
28/03/2013,86.2
29/03/2013,90.5
30/03/2013,92.2
31/03/2013,93.0
1/04/2013,104.0
2/04/2013,118.0
3/04/2013,135.0
4/04/2013,132.1
5/04/2013,142.3
6/04/2013,142.6
7/04/2013,162.3
8/04/2013,187.5
9/04/2013,230.0
10/04/2013,165.0
11/04/2013,124.9
12/04/2013,117.0
13/04/2013,93.0
14/04/2013,90.0
15/04/2013,82.4
16/04/2013,68.4
17/04/2013,93.1
18/04/2013,109.0
19/04/2013,118.5
20/04/2013,126.6
21/04/2013,119.2
22/04/2013,127.4
23/04/2013,143.5
24/04/2013,154.2
25/04/2013,141.7
26/04/2013,136.9
27/04/2013,128.0
28/04/2013,134.4
29/04/2013,144.0
30/04/2013,139.2
1/05/2013,116.4
2/05/2013,106.3
3/05/2013,98.1
4/05/2013,112.9
5/05/2013,116.0
6/05/2013,112.3
7/05/2013,109.6
8/05/2013,113.2
9/05/2013,112.8
10/05/2013,117.7
11/05/2013,115.6
12/05/2013,114.8
13/05/2013,118.0
14/05/2013,111.4
15/05/2013,114.2
16/05/2013,118.2
17/05/2013,123.5
18/05/2013,123.2
19/05/2013,122.5
20/05/2013,122.0
21/05/2013,122.9
22/05/2013,123.8
23/05/2013,126.3
24/05/2013,133.1
25/05/2013,132.0
26/05/2013,133.5
27/05/2013,129.8
28/05/2013,129.0
29/05/2013,132.3
30/05/2013,128.8
31/05/2013,128.8
1/06/2013,129.3
2/06/2013,122.5
3/06/2013,120.7
4/06/2013,121.4
5/06/2013,121.9
6/06/2013,119.0
7/06/2013,111.0
8/06/2013,107.9
9/06/2013,100.4
10/06/2013,106.3
11/06/2013,109.0
12/06/2013,108.8
13/06/2013,103.9
14/06/2013,100.0
15/06/2013,99.8
16/06/2013,99.9
17/06/2013,101.9
18/06/2013,107.3
19/06/2013,108.3
20/06/2013,111.3
21/06/2013,109.5
22/06/2013,108.2
23/06/2013,107.9
24/06/2013,102.1
25/06/2013,103.3
26/06/2013,104.0
27/06/2013,101.7
28/06/2013,94.7
29/06/2013,95.0
30/06/2013,97.5
1/07/2013,84.6
2/07/2013,87.7
3/07/2013,76.9
4/07/2013,77.7
5/07/2013,66.3
6/07/2013,66.8
7/07/2013,72.5
8/07/2013,74.6
9/07/2013,74.2
10/07/2013,84.5
11/07/2013,91.2
12/07/2013,88.5
13/07/2013,91.4
14/07/2013,90.4
15/07/2013,93.1
16/07/2013,92.7
17/07/2013,90.5
18/07/2013,85.4
19/07/2013,85.8
20/07/2013,85.7
21/07/2013,85.5
22/07/2013,86.1
23/07/2013,86.9
24/07/2013,87.5
25/07/2013,89.4
26/07/2013,90.6
27/07/2013,89.1
28/07/2013,92.1
29/07/2013,93.3
30/07/2013,96.3
31/07/2013,97.9
1/08/2013,96.4
2/08/2013,97.2
3/08/2013,96.7
4/08/2013,96.6
5/08/2013,96.9
6/08/2013,97.1
7/08/2013,96.9
8/08/2013,94.8
9/08/2013,93.4
10/08/2013,93.3
11/08/2013,94.2
12/08/2013,95.1
13/08/2013,97.9
14/08/2013,98.0
15/08/2013,97.5
16/08/2013,98.3
17/08/2013,99.6
18/08/2013,98.8
19/08/2013,102.3
20/08/2013,105.0
21/08/2013,111.4
22/08/2013,109.7
23/08/2013,107.6
24/08/2013,108.7
25/08/2013,111.8
26/08/2013,112.2
27/08/2013,117.4
28/08/2013,117.6
29/08/2013,117.5
30/08/2013,123.2
31/08/2013,129.5
1/09/2013,128.3
2/09/2013,127.4
3/09/2013,127.6
