Date,price_USD
2/01/1968,35.18
3/01/1968,35.16
4/01/1968,35.14
5/01/1968,35.14
8/01/1968,35.14
9/01/1968,35.14
10/01/1968,35.15
11/01/1968,35.17
12/01/1968,35.18
15/01/1968,35.18
16/01/1968,35.19
17/01/1968,35.2
18/01/1968,35.2
19/01/1968,35.19
22/01/1968,35.19
23/01/1968,35.19
24/01/1968,35.2
25/01/1968,35.2
26/01/1968,35.2
29/01/1968,35.19
30/01/1968,35.19
31/01/1968,35.2
1/02/1968,35.2
2/02/1968,35.2
5/02/1968,35.19
6/02/1968,35.19
7/02/1968,35.2
8/02/1968,35.19
9/02/1968,35.2
12/02/1968,35.19
13/02/1968,35.19
14/02/1968,35.2
15/02/1968,35.2
16/02/1968,35.2
19/02/1968,35.2
20/02/1968,35.2
21/02/1968,35.2
22/02/1968,35.2
23/02/1968,35.2
26/02/1968,35.2
27/02/1968,35.2
28/02/1968,35.2
29/02/1968,35.2
1/03/1968,35.2
4/03/1968,35.2
5/03/1968,35.2
6/03/1968,35.2
7/03/1968,35.2
8/03/1968,35.2
11/03/1968,35.2
12/03/1968,35.2
13/03/1968,35.2
14/03/1968,35.2
1/04/1968,38.0
2/04/1968,37.6
3/04/1968,37.7
4/04/1968,36.7
5/04/1968,37.2
8/04/1968,37.0
9/04/1968,37.25
10/04/1968,37.6
11/04/1968,38.05
16/04/1968,38.1
17/04/1968,38.0
18/04/1968,37.6
19/04/1968,37.65
22/04/1968,38.3
23/04/1968,38.05
24/04/1968,38.35
25/04/1968,38.25
26/04/1968,38.5
29/04/1968,38.55
30/04/1968,39.1
1/05/1968,39.1
2/05/1968,39.25
3/05/1968,39.6
6/05/1968,39.7
7/05/1968,39.3
8/05/1968,39.5
9/05/1968,39.7
10/05/1968,39.8
13/05/1968,39.4
14/05/1968,39.6
15/05/1968,40.1
16/05/1968,40.85
17/05/1968,41.6
20/05/1968,42.0
21/05/1968,42.6
22/05/1968,42.2
23/05/1968,41.5
24/05/1968,41.75
27/05/1968,41.5
28/05/1968,41.6
29/05/1968,41.5
30/05/1968,41.75
31/05/1968,42.0
4/06/1968,41.2
5/06/1968,41.4
6/06/1968,41.25
7/06/1968,41.2
10/06/1968,41.35
11/06/1968,41.3
12/06/1968,42.1
13/06/1968,41.4
14/06/1968,40.2
17/06/1968,40.9
18/06/1968,40.7
19/06/1968,41.4
20/06/1968,41.05
21/06/1968,41.05
24/06/1968,41.05
25/06/1968,40.85
26/06/1968,40.95
27/06/1968,40.8
28/06/1968,40.95
1/07/1968,40.9
2/07/1968,40.85
3/07/1968,40.9
4/07/1968,41.05
5/07/1968,41.1
8/07/1968,40.95
9/07/1968,40.6
10/07/1968,40.15
11/07/1968,39.4
12/07/1968,39.1
15/07/1968,39.15
16/07/1968,38.9
17/07/1968,37.8
18/07/1968,38.0
19/07/1968,39.1
22/07/1968,38.65
23/07/1968,38.65
24/07/1968,39.2
25/07/1968,39.1
26/07/1968,38.75
29/07/1968,38.9
30/07/1968,39.1
31/07/1968,38.9
1/08/1968,38.8
2/08/1968,38.8
5/08/1968,38.85
6/08/1968,38.85
7/08/1968,38.8
8/08/1968,38.55
9/08/1968,38.45
12/08/1968,38.6
13/08/1968,38.75
14/08/1968,38.95
15/08/1968,39.0
16/08/1968,39.1
19/08/1968,39.15
20/08/1968,39.35
21/08/1968,40.3
22/08/1968,39.65
23/08/1968,39.65
26/08/1968,39.4
27/08/1968,39.55
28/08/1968,39.55
29/08/1968,39.8
30/08/1968,39.85
3/09/1968,39.98
4/09/1968,39.9
5/09/1968,39.95
6/09/1968,40.0
9/09/1968,40.0
10/09/1968,40.0
11/09/1968,40.0
12/09/1968,40.05
13/09/1968,40.17
16/09/1968,40.2
17/09/1968,40.55
18/09/1968,40.45
19/09/1968,40.52
20/09/1968,40.5
23/09/1968,40.42
24/09/1968,40.48
25/09/1968,40.42
26/09/1968,40.45
27/09/1968,40.3
30/09/1968,39.7
1/10/1968,39.6
2/10/1968,38.3
3/10/1968,39.0
4/10/1968,38.9
7/10/1968,39.8
8/10/1968,39.75
9/10/1968,39.2
10/10/1968,38.83
11/10/1968,39.2
14/10/1968,39.3
15/10/1968,39.2
16/10/1968,38.95
17/10/1968,39.2
18/10/1968,39.4
21/10/1968,39.1
22/10/1968,38.95
23/10/1968,39.17
24/10/1968,39.2
25/10/1968,39.3
28/10/1968,39.38
29/10/1968,39.6
30/10/1968,39.3
31/10/1968,39.2
1/11/1968,38.9
4/11/1968,39.25
5/11/1968,39.33
6/11/1968,39.5
7/11/1968,39.52
8/11/1968,39.4
11/11/1968,39.5
12/11/1968,39.73
13/11/1968,39.75
14/11/1968,39.75
15/11/1968,40.0
18/11/1968,40.0
19/11/1968,40.05
20/11/1968,40.75
21/11/1968,40.25
22/11/1968,40.2
25/11/1968,40.3
26/11/1968,40.08
27/11/1968,39.75
28/11/1968,39.85
29/11/1968,39.85
2/12/1968,39.9
3/12/1968,40.15
4/12/1968,40.77
5/12/1968,40.45
6/12/1968,40.35
9/12/1968,40.62
10/12/1968,40.67
11/12/1968,40.75
12/12/1968,41.3
13/12/1968,40.9
16/12/1968,40.98
17/12/1968,41.2
18/12/1968,41.83
19/12/1968,41.67
20/12/1968,41.65
23/12/1968,41.7
24/12/1968,41.7
27/12/1968,41.7
30/12/1968,42.0
31/12/1968,41.95
2/01/1969,41.8
3/01/1969,41.9
6/01/1969,42.02
7/01/1969,42.1
8/01/1969,42.45
9/01/1969,42.48
10/01/1969,42.3
13/01/1969,42.0
14/01/1969,42.4
15/01/1969,42.75
16/01/1969,42.7
17/01/1969,41.9
20/01/1969,42.2
21/01/1969,42.4
22/01/1969,42.6
23/01/1969,42.2
24/01/1969,42.0
27/01/1969,42.2
28/01/1969,42.45
29/01/1969,42.45
30/01/1969,42.55
31/01/1969,42.55
3/02/1969,42.5
4/02/1969,42.48
5/02/1969,42.7
6/02/1969,42.62
7/02/1969,42.55
10/02/1969,42.55
11/02/1969,42.52
12/02/1969,42.6
13/02/1969,42.55
14/02/1969,42.5
17/02/1969,42.65
18/02/1969,42.62
19/02/1969,42.65
20/02/1969,42.6
21/02/1969,42.62
24/02/1969,42.7
25/02/1969,42.67
26/02/1969,42.7
27/02/1969,42.75
28/02/1969,42.77
3/03/1969,42.75
4/03/1969,42.75
5/03/1969,42.9
6/03/1969,43.25
7/03/1969,43.6
10/03/1969,43.75
11/03/1969,43.3
12/03/1969,43.02
13/03/1969,43.15
14/03/1969,43.0
17/03/1969,43.02
18/03/1969,42.85
19/03/1969,43.08
20/03/1969,43.12
21/03/1969,43.17
24/03/1969,43.25
25/03/1969,43.4
26/03/1969,43.35
27/03/1969,43.48
28/03/1969,43.3
