Date,SYD,MEL,BRI,ADE,PER,CAN,HOB,DAR
1/03/1980,55.4,31.3,34.5,36.3,41.5,43.2,,
1/06/1980,59.6,33.3,34.7,36.6,40.6,47,,
1/09/1980,62.5,33.3,35.9,36.9,40.8,49.8,,
1/12/1980,65.3,33.1,36.8,36.8,38.5,54.6,,
1/03/1981,70.8,35.4,38.9,39.4,42.4,59.6,,
1/06/1981,72.4,36.5,42.9,39.2,45,63.9,,
1/09/1981,67.3,36.7,48.9,41.1,44.9,62.3,,
1/12/1981,72.2,38.8,50.6,41.6,43,65.8,,
1/03/1982,69.2,37.5,54.3,43.6,47.4,63.7,,
1/06/1982,72,38.5,55.1,44.5,47.2,64.4,,
1/09/1982,69,38.1,54.8,45.7,48.6,65.2,,
1/12/1982,65,40.6,56.3,48.2,49.7,63.8,,
1/03/1983,68.9,39.8,55.4,49.2,50.6,66.3,,
1/06/1983,70.8,42.9,55.6,49.6,50.5,73.8,,
1/09/1983,68.7,44,55.3,51.3,49.6,75.5,,
1/12/1983,74.2,44.4,55.8,54.6,45.3,81.2,,
1/03/1984,73.8,47.5,59.8,63.2,46.2,86.2,,
1/06/1984,72.2,51.9,56.8,69.9,46.8,94.2,,
1/09/1984,74.1,55.6,59.5,71.1,50.1,93.3,,
1/12/1984,73.2,55.2,59.7,73.2,49.6,93.2,,
1/03/1985,79.2,57.7,60.3,75.3,51.3,95.1,,
1/06/1985,78.8,59.7,61.1,75.8,50.8,96.7,,
1/09/1985,78.4,61.4,62.7,77.2,51.7,100.1,,
1/12/1985,83.2,61.2,62.1,78.4,54.4,102.9,,
1/03/1986,83.4,64.1,60.4,77.7,55.1,101.4,,
1/06/1986,89.4,66.7,59.7,76.4,56.1,97.6,,
1/09/1986,86.2,63,57.8,76.1,59.2,102.7,,
1/12/1986,95.1,66.1,59.4,77.1,61.6,95.5,,87.5
1/03/1987,88.3,66.1,60.5,75.8,58.4,98.3,,78.3
1/06/1987,104.9,69.7,62.3,76.5,58.9,96.3,,77.9
1/09/1987,107.5,61.3,59.9,75.4,63.1,96,,81.9
1/12/1987,111.3,76.9,66.4,82.9,64.5,101.9,,86.2
