Date,AskPrice_Avg_AUD
5/17/2019,63.12
5/16/2019,62.12
5/15/2019,61.37
5/14/2019,60.86
5/13/2019,61.65
5/10/2019,61.64
5/9/2019,62.02
5/8/2019,61.44
5/7/2019,62.17
5/6/2019,61.43
5/3/2019,61.55
5/2/2019,63.61
5/1/2019,63.4
4/30/2019,63.58
4/29/2019,62.95
4/26/2019,65.13
4/25/2019,65.81
4/24/2019,66.17
4/23/2019,
4/22/2019,64.0
4/18/2019,63.75
4/17/2019,64.32
4/16/2019,63.57
4/15/2019,63.76
4/12/2019,63.71
4/11/2019,64.48
4/10/2019,64.22
4/9/2019,64.4
4/8/2019,63.33
4/5/2019,62.18
4/4/2019,62.5
4/3/2019,62.64
4/2/2019,61.81
4/1/2019,60.24
3/29/2019,59.53
3/28/2019,59.4
3/27/2019,60.03
3/26/2019,59.12
3/25/2019,58.98
3/22/2019,59.87
3/21/2019,
3/20/2019,59.02
3/19/2019,59.01
3/18/2019,58.45
3/15/2019,58.51
3/14/2019,58.35
3/13/2019,57.09
3/12/2019,56.76
3/8/2019,56.43
3/7/2019,56.2
3/6/2019,56.28
3/5/2019,56.45
3/4/2019,55.83
3/1/2019,57.22
2/28/2019,57.0
2/27/2019,55.95
2/26/2019,55.46
2/25/2019,57.17
2/22/2019,56.84
2/21/2019,
2/20/2019,55.94
2/19/2019,55.78
2/15/2019,54.48
2/14/2019,53.96
2/13/2019,53.35
2/12/2019,52.47
2/11/2019,52.66
2/8/2019,52.59
2/7/2019,53.94
2/6/2019,53.73
2/5/2019,54.86
2/4/2019,55.32
2/1/2019,54.01
1/31/2019,54.28
1/30/2019,53.24
1/29/2019,52.12
1/28/2019,53.56
1/25/2019,53.17
1/24/2019,52.45
1/23/2019,
1/22/2019,53.73
1/18/2019,52.23
1/17/2019,52.18
1/16/2019,52.0
1/15/2019,50.78
1/14/2019,51.73
1/11/2019,52.28
1/10/2019,52.18
1/9/2019,49.8
1/8/2019,48.73
1/7/2019,
1/4/2019,46.9
1/3/2019,46.26
1/2/2019,45.8
12/31/2018,45.22
12/28/2018,45.44
12/27/2018,46.58
12/26/2018,42.85
12/24/2018,45.45
12/21/2018,46.25
12/20/2018,
12/19/2018,45.93
12/18/2018,49.16
12/17/2018,51.25
12/14/2018,52.83
12/13/2018,51.2
12/12/2018,51.95
12/11/2018,50.89
12/10/2018,52.03
12/7/2018,51.76
12/6/2018,52.93
12/5/2018,52.59
12/4/2018,53.13
12/3/2018,52.45
11/30/2018,51.27
11/29/2018,50.31
11/28/2018,52.09
11/27/2018,51.54
11/26/2018,50.62
11/23/2018,54.66
11/21/2018,53.39
11/20/2018,
11/19/2018,56.72
11/16/2018,56.58
11/15/2018,56.02
11/14/2018,55.27
11/13/2018,58.88
11/12/2018,60.7
11/9/2018,60.75
