Date,price_USD
2/01/1968,2.173
3/01/1968,2.225
4/01/1968,2.171
5/01/1968,2.157
8/01/1968,2.1630000000000003
9/01/1968,2.109
10/01/1968,2.085
11/01/1968,2.094
12/01/1968,2.127
15/01/1968,2.114
16/01/1968,2.069
17/01/1968,2.0669999999999997
18/01/1968,2.0580000000000003
19/01/1968,2.0780000000000003
22/01/1968,2.088
23/01/1968,2.08
24/01/1968,2.064
25/01/1968,2.0180000000000002
26/01/1968,2.069
29/01/1968,2.039
30/01/1968,2.019
31/01/1968,1.96
1/02/1968,1.995
2/02/1968,2.02
5/02/1968,2.0
6/02/1968,1.9480000000000002
7/02/1968,1.965
8/02/1968,1.979
9/02/1968,1.9380000000000002
12/02/1968,1.929
13/02/1968,1.923
14/02/1968,1.919
15/02/1968,1.939
16/02/1968,1.999
19/02/1968,1.969
20/02/1968,1.98
21/02/1968,2.03
22/02/1968,2.029
23/02/1968,2.017
26/02/1968,2.065
27/02/1968,2.105
28/02/1968,2.105
29/02/1968,2.084
1/03/1968,2.2
4/03/1968,2.19
5/03/1968,2.188
6/03/1968,2.134
7/03/1968,2.189
8/03/1968,2.228
11/03/1968,2.197
12/03/1968,2.222
13/03/1968,2.37
14/03/1968,2.49
18/03/1968,2.119
19/03/1968,2.404
20/03/1968,2.237
21/03/1968,2.303
22/03/1968,2.218
25/03/1968,2.241
26/03/1968,2.2430000000000003
27/03/1968,2.302
28/03/1968,2.249
29/03/1968,2.278
1/04/1968,2.259
2/04/1968,2.202
3/04/1968,2.195
4/04/1968,2.125
5/04/1968,2.104
8/04/1968,2.134
9/04/1968,2.205
10/04/1968,2.2030000000000003
11/04/1968,2.161
16/04/1968,2.253
17/04/1968,2.303
18/04/1968,2.2319999999999998
19/04/1968,2.281
22/04/1968,2.36
23/04/1968,2.36
24/04/1968,2.299
25/04/1968,2.3080000000000003
26/04/1968,2.327
29/04/1968,2.396
30/04/1968,2.397
1/05/1968,2.3569999999999998
2/05/1968,2.2969999999999997
3/05/1968,2.315
6/05/1968,2.335
7/05/1968,2.245
8/05/1968,2.3209999999999997
9/05/1968,2.319
10/05/1968,2.3609999999999998
13/05/1968,2.359
14/05/1968,2.379
15/05/1968,2.401
16/05/1968,2.459
17/05/1968,2.505
20/05/1968,2.506
21/05/1968,2.5540000000000003
22/05/1968,2.467
23/05/1968,2.48
24/05/1968,2.503
27/05/1968,2.515
28/05/1968,2.49
29/05/1968,2.416
30/05/1968,2.477
31/05/1968,2.483
4/06/1968,2.426
5/06/1968,2.421
6/06/1968,2.454
7/06/1968,2.478
10/06/1968,2.4459999999999997
11/06/1968,2.506
12/06/1968,2.576
13/06/1968,2.52
14/06/1968,2.465
17/06/1968,2.432
18/06/1968,2.431
19/06/1968,2.5340000000000003
20/06/1968,2.468
21/06/1968,2.449
24/06/1968,2.483
25/06/1968,2.512
26/06/1968,2.4930000000000003
27/06/1968,2.492
28/06/1968,2.502
1/07/1968,2.512
2/07/1968,2.463
3/07/1968,2.489
4/07/1968,2.487
5/07/1968,2.472
8/07/1968,2.436
9/07/1968,2.319
10/07/1968,2.418
11/07/1968,2.369
12/07/1968,2.35
15/07/1968,2.392
16/07/1968,2.351
17/07/1968,2.303
18/07/1968,2.242
19/07/1968,2.331
22/07/1968,2.292
23/07/1968,2.292
24/07/1968,2.3280000000000003
25/07/1968,2.283
26/07/1968,2.2840000000000003
29/07/1968,2.276
30/07/1968,2.235
31/07/1968,2.285
1/08/1968,2.225
2/08/1968,2.245
5/08/1968,2.195
6/08/1968,2.185
7/08/1968,2.205
8/08/1968,2.165
9/08/1968,2.154
12/08/1968,2.125
13/08/1968,2.064
14/08/1968,2.193
15/08/1968,2.208
16/08/1968,2.2030000000000003
19/08/1968,2.178
20/08/1968,2.2430000000000003
21/08/1968,2.332
22/08/1968,2.24
23/08/1968,2.274
26/08/1968,2.239
27/08/1968,2.239
28/08/1968,2.218
29/08/1968,2.242
30/08/1968,2.239
3/09/1968,2.24
4/09/1968,2.255
5/09/1968,2.274
6/09/1968,2.2640000000000002
9/09/1968,2.2430000000000003
10/09/1968,2.168
11/09/1968,2.248
12/09/1968,2.198
